DID,DNAME,PRECAU,OCCUR,RISKFAC
101,Fungal Infection,"Mandilah dua kali sekali, gunakan dettol atau daun nimba dalam air mandi, jaga area yang terinfeksi tetap kering, gunakan kain bersih.",Common -More than 1 million cases per year (India),"Kolonisasi, antibiotik spektrum luas, kateter sentral yang terpasang"
102,Food allergy,"Oleskan calamine, tutup area dengan perban, gunakan es untuk meredakan gatal.",Very common-More than 10 million cases per year (India),"Dermatitis atopi, riwayat keluarga, demam hay"
103,GERD,"Hindari makanan berlemak dan pedas, hindari berbaring setelah makan, pertahankan berat badan yang sehat, berolahraga.",Very common-More than 10 million cases per year (India),"Obesitas, gangguan jaringan ikat, seperti skleroderma"
104,Chronic cholestasis,"Mandi air dingin, gunakan obat penghilang gatal, konsultasi dengan dokter, makan makanan sehat.",Common -More than 1 million cases per year (India),"Infeksi akibat virus seperti HIV, hepatitis, sitomegalovirus"
105,Drug allergy,"Hentikan iritasi, konsultasi ke rumah sakit terdekat, hentikan konsumsi obat dan lakukan follow-up.",Very common-More than 10 million cases per year (India),"Riwayat alergi makanan atau demam hay, riwayat alergi obat, peningkatan paparan terhadap obat"
106,Peptic Ulcer,"Hindari makanan berlemak dan pedas, konsumsi makanan probiotik, hilangkan susu, batasi alkohol.",Common -More than 1 million cases per year (India),"Mengonsumsi NSAID, merokok, infeksi H. pylori, konsumsi alkohol, stres yang tidak diobati"
107,AIDS,"PrEP (profilaksis pra-pajanan), gunakan kondom atau pelindung gigi saat seks oral.",Common -More than 1 million cases per year (India),"Berhubungan seksual tanpa perlindungan, memiliki infeksi menular seksual lainnya"
108,Diabetes,"Makan makanan seimbang, berolahraga, konsultasi dengan dokter, lakukan follow-up.",Very common-More than 10 million cases per year (India),"Penyakit arteri koroner dengan nyeri dada, serangan jantung, stroke, dan penyempitan arteri"
109,Gastroenteritis,"Hentikan makan makanan padat untuk sementara, coba minum sedikit air, istirahat, kembali makan perlahan.",Very common-More than 10 million cases per year (India),Campak dan gangguan imun meningkatkan risiko pasien terhadap masalah pencernaan
110,Asthma,"Ganti dengan pakaian longgar, tarik napas dalam-dalam, jauhkan diri dari pemicu, cari bantuan.",Very common-More than 10 million cases per year (India),"Dada berdebar saat menghembuskan napas, sesak napas, rasa tertekan atau nyeri pada dada"
111,Hypertension,"Mediasi, mandi air garam, kurangi stres, tidur yang cukup.",Very common-More than 10 million cases per year (India),"Diabetes, pola makan tidak sehat, obesitas, konsumsi alkohol berlebihan, penggunaan tembakau, riwayat keluarga, tekanan darah tinggi"
112,Migraine,"Mediasi, kurangi stres, gunakan kacamata polaroid di bawah sinar matahari, konsultasi dengan dokter.",Very common-More than 10 million cases per year (India),"Melewatkan waktu makan, terlalu banyak atau terlalu sedikit tidur, stres, merokok, depresi, kecemasan, konsumsi alkohol berlebihan"
